pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.500000,100,1.844250e-12,
TP53->-PIK3CA,2,1,84.000000,83,1.052123e-02,
PIK3CA->-TP53,2,1,68.000000,67,6.347839e-01,
MAP3K1->-PIK3CA,2,1,48.000000,47,3.030669e-02,
PIK3CA->-GATA3,2,1,39.500000,38,3.106297e-01,
TP53->-PTEN,2,1,38.000000,38,1.051794e-05,
GATA3->-PIK3CA,2,1,35.500000,34,6.624181e-01,
PIK3CA->-KMT2C,2,1,33.500000,33,2.780015e-02,
PIK3CA->-MAP3K1,2,1,33.000000,32,9.312507e-01,
CBFB->-PIK3CA,2,1,32.500000,32,2.134973e-06,
TP53->-KMT2C,2,1,29.000000,29,1.886952e-05,
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,4.500000,4,5.020006e-02,
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,2.866308e-01,
PIK3CA->-CDH1,2,1,28.500000,28,1.000000e+00,
PIK3CA->-FOXA1,2,1,27.000000,27,3.567848e-03,
PIK3CA->-ESR1,2,1,27.000000,27,3.737935e-02,
TP53->-NF1,2,1,27.000000,27,2.295692e-03,
CDH1->-TP53,2,1,25.500000,25,9.587172e-02,
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,6.149090e-01,
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,2.500000,2,3.651211e-01,
TP53->-MAP3K1,2,1,24.000000,24,4.763439e-05,
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,2.500000,2,1.498227e-01,
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,3.264566e-01,
TP53->-KMT2D,2,1,24.000000,24,8.241241e-07,
CDH1->-KMT2C,2,1,23.500000,23,1.030067e-04,
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,2.079354e-03,
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,3.319096e-01,
TP53->-RB1,2,1,21.000000,21,4.344014e-03,
CBFB->-GATA3,2,1,21.000000,21,1.184444e-04,
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,4.108986e-02,
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,5.500000,5,1.499546e-02,
KMT2C->-PIK3CA,2,1,20.000000,18,9.636624e-01,
KMT2C->-PIK3CA TP53->-KMT2C TP53->-PIK3CA,3,3,2.500000,1,3.786568e-01,
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,4.500000,4,6.754340e-02,
PIK3CA->-ARID1A,2,1,19.500000,18,2.574970e-01,
CDH1->-FOXA1,2,1,19.000000,19,5.413102e-04,
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,3.053590e-04,
CDH1->-MAP3K1,2,1,19.000000,19,6.062528e-04,
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,2.104146e-01,
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,9.490482e-04,
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,1.620370e-02,
