pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.500000,100,,1.016412e-12
TP53->-PIK3CA,2,1,84.000000,83,,4.865993e-03
PIK3CA->-TP53,2,1,68.000000,67,,5.143091e-01
MAP3K1->-PIK3CA,2,1,48.000000,47,,3.274559e-02
PIK3CA->-GATA3,2,1,39.500000,38,,3.475049e-01
TP53->-PTEN,2,1,38.000000,38,,6.920426e-06
GATA3->-PIK3CA,2,1,35.500000,34,,6.972012e-01
PIK3CA->-KMT2C,2,1,33.500000,33,,2.439048e-02
PIK3CA->-MAP3K1,2,1,33.000000,32,,9.331220e-01
CBFB->-PIK3CA,2,1,32.500000,32,,4.937239e-06
TP53->-KMT2C,2,1,29.000000,29,,1.077329e-05
PIK3CA->-KMT2C TP53->-KMT2C TP53->-PIK3CA,3,3,4.500000,4,,9.409542e-02
PIK3CA->-KMT2C PIK3CA->-TP53 TP53->-KMT2C,3,3,3.000000,3,,2.686882e-01
PIK3CA->-CDH1,2,1,28.500000,28,,1.000000e+00
PIK3CA->-FOXA1,2,1,27.000000,27,,2.914726e-03
PIK3CA->-ESR1,2,1,27.000000,27,,2.502887e-02
TP53->-NF1,2,1,27.000000,27,,1.737013e-03
CDH1->-TP53,2,1,25.500000,25,,1.079597e-01
CDH1->-PIK3CA CDH1->-TP53 TP53->-PIK3CA,3,3,2.000000,2,,6.119169e-01
CDH1->-PIK3CA CDH1->-TP53 PIK3CA->-TP53,3,3,2.500000,2,,6.119169e-01
TP53->-MAP3K1,2,1,24.000000,24,,3.336845e-05
MAP3K1->-PIK3CA TP53->-MAP3K1 TP53->-PIK3CA,3,3,2.500000,2,,3.177515e-01
PIK3CA->-MAP3K1 PIK3CA->-TP53 TP53->-MAP3K1,3,3,2.000000,2,,3.177515e-01
TP53->-KMT2D,2,1,24.000000,24,,6.641483e-07
CDH1->-KMT2C,2,1,23.500000,23,,2.375894e-04
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,,1.961511e-03
CDH1->-KMT2C CDH1->-TP53 TP53->-KMT2C,3,3,2.000000,2,,3.314475e-01
TP53->-RB1,2,1,21.000000,21,,3.719918e-03
CBFB->-GATA3,2,1,21.000000,21,,1.091260e-04
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,,3.954581e-02
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,5.500000,5,,3.954581e-02
KMT2C->-PIK3CA,2,1,20.000000,18,,9.835075e-01
CDH1->-KMT2C CDH1->-PIK3CA KMT2C->-PIK3CA,3,3,4.500000,4,,1.419170e-01
PIK3CA->-ARID1A,2,1,19.500000,18,,3.950619e-01
CDH1->-FOXA1,2,1,19.000000,19,,5.254219e-04
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,,3.052904e-04
CDH1->-MAP3K1,2,1,19.000000,19,,5.688474e-04
CDH1->-MAP3K1 CDH1->-PIK3CA MAP3K1->-PIK3CA,3,3,4.000000,4,,2.100509e-01
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,,9.455568e-04
CDH1->-MAP3K1 CDH1->-TP53 TP53->-MAP3K1,3,3,3.000000,3,,1.620370e-02
PIK3CA->-SF3B1,2,1,19.000000,19,,5.274430e-06
PIK3CA->-FAT1,2,1,19.000000,19,,6.594040e-04
AKT1->-TP53,2,1,19.000000,19,,7.467833e-06
TP53->-CDH1,2,1,19.000000,19,,7.183695e-01
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,,3.665494e-02
CDH1->-KMT2C TP53->-CDH1 TP53->-KMT2C,3,3,2.500000,2,,3.314475e-01
CDH1->-ERBB2,2,1,18.500000,18,,8.336743e-02
TP53->-FAT1,2,1,18.000000,18,,2.464556e-05
PIK3CA->-FAT1 TP53->-FAT1 TP53->-PIK3CA,3,3,4.000000,4,,3.383447e-02
PIK3CA->-FAT1 PIK3CA->-TP53 TP53->-FAT1,3,3,3.000000,3,,1.412509e-01
TP53->-NCOR1,2,1,18.000000,18,,2.336760e-02
PIK3CA->-RUNX1,2,1,18.000000,18,,2.632392e-02
CDH1->-TBX3,2,1,17.500000,17,,3.675263e-02
MAP2K4->-PIK3CA,2,1,17.500000,17,,5.547426e-02
ESR1->-PIK3CA,2,1,17.000000,17,,8.562118e-01
TP53->-ARID1A,2,1,17.000000,16,,2.609255e-03
PIK3CA->-ARID1A PIK3CA->-TP53 TP53->-ARID1A,3,3,2.500000,2,,2.506707e-01
TBX3->-PIK3CA,2,1,17.000000,17,,2.133673e-01
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,,4.109866e-02
TP53->-GATA3,2,1,17.000000,17,,1.131484e-02
PIK3CA->-GATA3 TP53->-GATA3 TP53->-PIK3CA,3,3,2.500000,2,,2.833369e-01
PIK3CA->-GATA3 PIK3CA->-TP53 TP53->-GATA3,3,3,3.000000,3,,7.645462e-02
PIK3CA->-NCOR1,2,1,17.000000,16,,5.350613e-01
NCOR1->-PIK3CA,2,1,16.000000,16,,5.350613e-01
NCOR1->-PIK3CA TP53->-NCOR1 TP53->-PIK3CA,3,3,3.000000,3,,1.183851e-01
CDH1->-ARID1A,2,1,15.500000,15,,1.782259e-02
CDH1->-ARID1A CDH1->-PIK3CA PIK3CA->-ARID1A,3,3,4.500000,4,,1.580351e-01
CDH1->-ARID1A PIK3CA->-ARID1A PIK3CA->-CDH1,3,3,2.000000,2,,6.598828e-01
CDH1->-RUNX1,2,1,15.000000,15,,4.961601e-02
CDH1->-PIK3CA CDH1->-RUNX1 PIK3CA->-RUNX1,3,3,4.000000,4,,7.059610e-02
CDH1->-RUNX1 PIK3CA->-CDH1 PIK3CA->-RUNX1,3,3,2.000000,2,,5.145788e-01
TP53->-ARID2,2,1,15.000000,15,,1.610643e-06
TP53->-PIK3R1,2,1,15.000000,15,,3.368059e-03
CDH1->-NCOR1,2,1,15.000000,15,,1.619204e-02
CDH1->-NCOR1 TP53->-CDH1 TP53->-NCOR1,3,3,2.000000,2,,3.581267e-01
CDH1->-NCOR1 CDH1->-PIK3CA PIK3CA->-NCOR1,3,3,2.500000,2,,4.727969e-01
CDH1->-NCOR1 CDH1->-PIK3CA NCOR1->-PIK3CA,3,3,4.000000,4,,5.459719e-02
ARID1A->-PIK3CA,2,1,14.500000,14,,8.591536e-01
ARID1A->-PIK3CA CDH1->-ARID1A CDH1->-PIK3CA,3,3,5.500000,5,,5.191546e-02
TP53->-ATR,2,1,14.500000,14,,8.543084e-04
PIK3CA->-TBX3,2,1,14.500000,14,,6.110003e-01
CDH1->-PIK3CA CDH1->-TBX3 PIK3CA->-TBX3,3,3,3.000000,3,,3.333317e-01
TP53->-PTPRD,2,1,14.500000,14,,2.468999e-05
PIK3CA->-KMT2D,2,1,14.000000,14,,1.750074e-02
