pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,101,,4.999753e-05
TP53->-PIK3CA,2,1,84.000000,85,,3.796946e-02
PIK3CA->-TP53,2,1,68.434553,68,,8.365596e-01
MAP3K1->-PIK3CA,2,1,48.000000,49,,5.076681e-02
PIK3CA->-GATA3,2,1,41.155500,43,,2.152348e-01
TP53->-PTEN,2,1,38.000000,38,,1.199998e-04
GATA3->-PIK3CA,2,1,35.666667,37,,7.100973e-01
PIK3CA->-KMT2C,2,1,33.500000,34,,6.056057e-02
PIK3CA->-MAP3K1,2,1,33.000000,34,,9.520344e-01
CBFB->-PIK3CA,2,1,32.500000,33,,5.003879e-06
TP53->-KMT2C,2,1,29.400000,29,,1.581229e-04
PIK3CA->-CDH1,2,1,28.500000,29,,1.000000e+00
PIK3CA->-ESR1,2,1,27.505464,28,,5.513615e-02
TP53->-NF1,2,1,27.000000,27,,5.701875e-03
PIK3CA->-FOXA1,2,1,27.000000,27,,8.663638e-03
CDH1->-TP53,2,1,25.666667,26,,1.214301e-01
TP53->-KMT2D,2,1,24.000000,24,,5.477051e-05
TP53->-MAP3K1,2,1,23.903146,24,,3.148946e-04
CDH1->-KMT2C,2,1,23.500000,24,,1.890096e-04
PIK3CA->-ARID1A,2,1,20.166667,22,,1.473688e-01
KMT2C->-PIK3CA,2,1,20.000000,22,,9.528796e-01
CBFB->-GATA3,2,1,21.000000,21,,3.393179e-04
TP53->-RB1,2,1,21.000000,21,,9.760029e-03
PIK3CA->-FAT1,2,1,19.253606,19,,1.918871e-03
CDH1->-MAP3K1,2,1,19.000000,19,,1.299739e-03
PIK3CA->-SF3B1,2,1,19.000000,19,,2.452104e-05
AKT1->-TP53,2,1,19.000000,19,,1.258357e-04
TP53->-CDH1,2,1,19.000000,19,,8.252507e-01
CDH1->-ERBB2,2,1,18.928571,19,,8.957889e-02
CDH1->-FOXA1,2,1,18.665753,19,,1.278717e-03
TP53->-NCOR1,2,1,18.661458,19,,1.863099e-02
PIK3CA->-RUNX1,2,1,18.600000,19,,2.603381e-02
TP53->-FAT1,2,1,18.000000,18,,3.146166e-04
CDH1->-TBX3,2,1,17.500000,18,,4.486032e-02
MAP2K4->-PIK3CA,2,1,17.166667,18,,4.979320e-02
PIK3CA->-NCOR1,2,1,17.100000,18,,3.625479e-01
TP53->-ARID1A,2,1,17.000000,18,,1.117438e-03
TP53->-GATA3,2,1,17.256098,17,,5.511746e-02
TBX3->-PIK3CA,2,1,17.000000,17,,3.301555e-01
ESR1->-PIK3CA,2,1,16.500000,17,,9.529565e-01
CDH1->-ARID1A,2,1,16.100000,17,,4.699770e-03
NCOR1->-PIK3CA,2,1,16.000000,16,,6.324767e-01
CDH1->-RUNX1,2,1,15.000000,15,,9.866655e-02
CDH1->-NCOR1,2,1,15.000000,15,,2.027715e-02
TP53->-ARID2,2,1,15.000000,15,,5.427954e-05
TP53->-PIK3R1,2,1,15.000000,15,,7.956856e-03
PIK3CA->-TBX3,2,1,14.500000,15,,6.063880e-01
ARID1A->-PIK3CA,2,1,14.500000,15,,8.955272e-01
TP53->-ATR,2,1,14.000000,15,,3.765342e-04
PIK3CA->-KMT2D,2,1,14.333333,14,,3.677974e-02
TP53->-PTPRD,2,1,13.903458,14,,1.586970e-04
TP53->-RUNX1,2,1,13.500000,14,,3.183853e-02
TP53->-BRCA2,2,1,13.500000,14,,2.906847e-04
TP53->-NSD1,2,1,13.000000,14,,5.693130e-05
PIK3CA->-ATR,2,1,13.000000,14,,1.666686e-03
TP53->-KMT2A,2,1,13.000000,13,,2.247384e-04
CDH1->-ESR1,2,1,13.000000,13,,7.657066e-02
PIK3CA->-PTEN,2,1,13.000000,13,,5.444683e-01
TP53->-CREBBP,2,1,12.666667,13,,2.260813e-03
TP53->-STAG2,2,1,12.500000,13,,3.936429e-03
TP53->-FLT4,2,1,12.000000,12,,1.751548e-04
PIK3CA->-SPEN,2,1,12.000000,12,,6.477608e-02
TP53->-APC,2,1,12.000000,12,,1.338697e-03
MEN1->-GATA3,2,1,12.000000,12,,2.441406e-04
NF1->-PIK3CA,2,1,12.000000,12,,3.531287e-01
NF1->-TP53,2,1,12.000000,12,,9.907292e-01
PTEN->-PIK3CA,2,1,11.900000,12,,6.939546e-01
TP53->-ALK,2,1,11.697406,12,,1.161208e-04
TP53->-TBX3,2,1,11.505208,12,,8.209738e-02
PTEN->-TP53,2,1,11.500000,12,,9.999094e-01
MAP3K1->-GATA3,2,1,11.500000,12,,4.691655e-01
CDH1->-CBFB,2,1,11.500000,12,,1.735718e-01
FOXA1->-PIK3CA,2,1,11.500000,12,,9.934637e-01
TP53->-FOXA1,2,1,11.170962,12,,2.762682e-02
PIK3CA->-PTPRT,2,1,11.076369,12,,5.089691e-03
PIK3CA->-RICTOR,2,1,11.000000,12,,5.599742e-04
TP53->-ESR1,2,1,11.400000,11,,1.329724e-02
PIK3CA->-ATM,2,1,11.000000,11,,3.207746e-01
TP53->-ATM,2,1,11.000000,11,,1.440543e-03
TP53->-CDKN2A,2,1,11.000000,11,,1.874316e-02
PIK3CA->-RB1,2,1,11.000000,11,,2.419898e-01
TP53->-FBXW7,2,1,11.000000,11,,6.634580e-03
TP53->-ERBB3,2,1,11.000000,11,,8.017695e-05
TP53->-SETD2,2,1,10.750000,11,,1.531676e-04
TP53->-NOTCH4,2,1,10.697674,11,,7.119736e-05
PIK3CA->-NOTCH4,2,1,10.666667,11,,6.848549e-03
TP53->-PTPRS,2,1,10.665753,11,,8.943886e-05
GATA3->-MAP3K1,2,1,10.500000,11,,6.326817e-01
ESR1->-GATA3,2,1,10.500000,11,,2.329224e-01
